success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,error
True,False,bfs,1.4543533325195312e-05,,0,0,inf,inf,0,,
True,False,mm,2.09808349609375e-05,,0,0,inf,inf,0,,
True,False,mm_bundled,2.6702880859375e-05,,0,0,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,0,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,9.5367431640625e-06,,0,1,inf,inf,0,,
True,False,mm,2.4080276489257812e-05,,0,1,inf,inf,0,,
True,False,mm_bundled,2.1457672119140625e-05,,0,1,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,1,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,1.33514404296875e-05,,0,2,inf,inf,0,,
True,False,mm,1.3589859008789062e-05,,0,2,inf,inf,0,,
True,False,mm_bundled,1.3589859008789062e-05,,0,2,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,2,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,6.9141387939453125e-06,,0,3,inf,inf,0,,
True,False,mm,1.9311904907226562e-05,,0,3,inf,inf,0,,
True,False,mm_bundled,1.2874603271484375e-05,,0,3,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,3,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,6.67572021484375e-06,,0,4,inf,inf,0,,
True,False,mm,3.0994415283203125e-05,,0,4,inf,inf,0,,
True,False,mm_bundled,0.00025272369384765625,,0,4,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,4,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,7.867813110351562e-06,,0,5,inf,inf,0,,
True,False,mm,1.4543533325195312e-05,,0,5,inf,inf,0,,
True,False,mm_bundled,1.239776611328125e-05,,0,5,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,5,inf,inf,0,0.0,range() arg 3 must not be zero
True,False,bfs,2.8371810913085938e-05,,0,6,inf,inf,0,,
True,False,mm,2.193450927734375e-05,,0,6,inf,inf,0,,
True,False,mm_bundled,1.430511474609375e-05,,0,6,inf,inf,0,1.0,
False,False,mm_bundled,2.0,,0,6,inf,inf,0,0.0,range() arg 3 must not be zero
